name,season,school,conf,games,minutes,fg,fga,fgper,2p,2pa,2pper,3p,3pa,3pper,ft,fta,ftper,orb,drb,trb,ast,stl,blk,tov,pf,pts
Pete Mickeal,1999-00,Cincinnati,CUSA,32,,143,284,0.504,122,224,0.545,21,60,0.35,125,173,0.723,,,203,58,46,16,,,432
Jaquay Walls,1999-00,Colorado,Big 12,32,,167,379,0.441,110,232,0.474,57,147,0.388,153,203,0.754,,,101,144,49,7,,,544
Chris Porter,1999-00,Auburn,SEC,26,755,141,304,0.464,137,287,0.477,4,17,0.235,94,139,0.676,,,191,30,52,9,54,70,380
Dan McClintock,1999-00,Northern Arizona,Big Sky,31,754,190,318,0.597,190,318,0.597,0,0,,103,151,0.682,,,202,36,11,70,57,88,483
Mark Karcher,1999-00,Temple,A-10,32,,180,476,0.378,98,241,0.407,82,235,0.349,62,109,0.569,,,146,70,59,5,,,504
Jabari Smith,1999-00,Louisiana State,SEC,34,969,156,282,0.553,143,247,0.579,13,35,0.371,100,168,0.595,,,239,75,24,33,88,84,425
Michael Redd,1999-00,Ohio State,Big Ten,30,1004,197,452,0.436,163,344,0.474,34,108,0.315,90,116,0.776,,,196,62,37,6,62,56,518
Lavor Postell,1999-00,St. John's (NY),Big East,33,1155,171,400,0.428,146,315,0.463,25,85,0.294,106,131,0.809,,,229,60,30,21,49,79,473
Eduardo Najera,1999-00,Oklahoma,Big 12,34,1162,234,514,0.455,216,432,0.5,18,82,0.22,139,202,0.688,,,314,72,59,25,82,97,625
Eddie House,1999-00,Arizona State,Pac-10,32,1189,263,623,0.422,190,423,0.449,73,200,0.365,137,164,0.835,,,175,111,74,2,72,66,736
Khalid El-Amin,1999-00,Connecticut,Big East,35,1118,195,475,0.411,132,298,0.443,63,177,0.356,107,120,0.892,,,110,183,59,4,93,73,560
A.J. Guyton,1999-00,Indiana,Big Ten,29,995,204,444,0.459,132,272,0.485,72,172,0.419,90,114,0.789,,,90,68,29,13,69,27,570
Dan Langhi,1999-00,Vanderbilt,SEC,30,1033,222,465,0.477,164,321,0.511,58,144,0.403,162,186,0.871,,,181,23,13,9,53,56,664
Mark Madsen,1999-00,Stanford,Pac-10,23,628,108,184,0.587,108,184,0.587,0,0,,65,113,0.575,,,214,25,13,21,34,52,281
Ndongo N'diaye,,Providence,,5,,4,9,0.444,4,9,0.444,0,0,,0,1,0,,,6,0,0,5,,,8
Donnell Harvey,1999-00,Florida,SEC,37,746,144,284,0.507,144,283,0.509,0,1,0,86,141,0.61,,,258,37,27,31,60,101,374
Speedy Claxton,1999-00,Hofstra,AEC,31,1089,253,538,0.47,202,404,0.5,51,134,0.381,149,195,0.764,,,168,186,102,5,101,71,706
Jamal Crawford,1999-00,Michigan,Big Ten,17,577,105,255,0.412,72,154,0.468,33,101,0.327,40,51,0.784,,,47,76,19,16,53,19,283
Kenny Satterfield,2000-01,Cincinnati,CUSA,35,1203,163,421,0.387,115,277,0.415,48,144,0.333,130,165,0.788,,,165,177,60,6,111,89,504
Jarron Collins,2000-01,Stanford,Pac-10,34,963,154,276,0.558,152,270,0.563,2,6,0.333,125,182,0.687,,,229,47,21,19,50,86,435
Andre Hutson,2000-01,Michigan State,Big Ten,32,,173,278,0.622,173,278,0.622,0,0,,95,131,0.725,,,244,61,27,17,,,441
Alton Ford,2000-01,Houston,CUSA,26,663,95,220,0.432,86,186,0.462,9,34,0.265,81,133,0.609,,,154,17,5,19,66,97,280
Ruben Boumtje-Boumtje,2000-01,Georgetown,Big East,33,713,105,203,0.517,105,203,0.517,0,0,,89,124,0.718,,,225,30,22,78,73,84,299
Loren Woods,,Wake Forest,,52,525,134,304,0.441,133,300,0.443,1,4,0.25,130,193,0.674,,,314,35,15,95,43,45,399
Sean Lampley,2000-01,California,Pac-10,31,1073,209,416,0.502,202,383,0.527,7,33,0.212,180,244,0.738,,,224,102,29,14,112,79,605
Keith Bogans,2002-03,Kentucky,SEC,36,1068,194,425,0.456,114,216,0.528,80,209,0.383,96,130,0.738,,,138,98,42,4,78,60,564
Eric Chenowith,2000-01,Kansas,Big 12,33,,111,243,0.457,111,241,0.461,0,2,0,93,136,0.684,,,250,28,11,49,,,315
Bobby Simmons,2000-01,DePaul,CUSA,29,981,149,333,0.447,88,168,0.524,61,165,0.37,124,155,0.8,,,248,72,23,4,60,97,483
Jamison Brewer,2000-01,Auburn,SEC,32,1035,97,207,0.469,87,163,0.534,10,44,0.227,64,121,0.529,,,230,187,48,2,92,49,268
Earl Watson,2000-01,UCLA,Pac-10,32,1115,172,349,0.493,134,241,0.556,38,108,0.352,89,140,0.636,,,117,166,62,11,108,100,471
Michael Wright,2000-01,Arizona,Pac-10,36,,202,340,0.594,202,337,0.599,0,3,0,157,197,0.797,,,281,11,20,10,,,561
Damone Brown,2000-01,Syracuse,Big East,34,1242,215,437,0.492,211,423,0.499,4,14,0.286,125,158,0.791,,,300,56,58,48,69,92,559
Brian Scalabrine,2000-01,Southern California,Pac-10,34,1116,173,362,0.478,153,296,0.517,20,66,0.303,133,166,0.801,,,202,96,30,31,104,89,499
Will Solomon,2000-01,Clemson,ACC,30,998,183,461,0.397,88,209,0.421,95,252,0.377,130,165,0.788,,,86,102,42,9,123,71,591
Omar Cook,2000-01,St. John's (NY),Big East,29,1107,141,392,0.36,73,172,0.424,68,220,0.309,95,128,0.742,,,88,252,66,5,148,82,445
Gilbert Arenas,2000-01,Arizona,Pac-10,36,1044,208,434,0.479,139,268,0.519,69,166,0.416,97,134,0.724,,,131,84,65,7,101,82,582
Trenton Hassell,2000-01,Austin Peay,OVC,32,1213,246,507,0.485,193,371,0.52,53,136,0.39,148,186,0.796,,,249,144,39,15,121,67,693
Jamaal Tinsley,2000-01,Iowa State,Big 12,31,999,139,348,0.399,102,251,0.406,37,97,0.381,128,185,0.692,,,117,187,79,19,117,92,443
Brandon Armstrong,2000-01,Pepperdine,WCC,31,1027,240,537,0.447,164,339,0.484,76,198,0.384,128,155,0.826,,,101,46,46,6,65,85,684
Jeryl Sasser,2000-01,Southern Methodist,WAC,29,1011,170,431,0.394,135,309,0.437,35,122,0.287,117,163,0.718,,,242,22,41,16,62,62,492
Joseph Forte,2000-01,North Carolina,ACC,33,1145,251,558,0.45,196,412,0.476,55,146,0.377,133,156,0.853,,,201,116,67,12,84,60,690
Brendan Haywood,2000-01,North Carolina,ACC,33,901,155,262,0.592,155,262,0.592,0,0,,95,184,0.516,,,242,42,18,120,66,97,405
Kirk Haston,2000-01,Indiana,Big Ten,33,1018,243,552,0.44,217,483,0.449,26,69,0.377,114,166,0.687,,,288,41,36,40,79,93,626
Steven Hunter,2000-01,DePaul,CUSA,30,808,138,233,0.592,138,233,0.592,0,0,,67,125,0.536,,,169,15,5,72,44,70,343
Troy Murphy,2000-01,Notre Dame,Big East,30,1090,223,473,0.471,193,387,0.499,30,86,0.349,177,231,0.766,,,277,62,27,50,90,96,653
Richard Jefferson,2000-01,Arizona,Pac-10,35,961,147,307,0.479,116,217,0.535,31,90,0.344,72,110,0.655,,,190,94,27,28,104,98,397
Joe Johnson,2000-01,Arkansas,SEC,30,873,162,346,0.468,127,267,0.476,35,79,0.443,68,91,0.747,,,193,77,43,12,70,46,427
Rodney White,2000-01,Charlotte,CUSA,28,865,188,386,0.487,155,291,0.533,33,95,0.347,114,160,0.713,,,182,41,34,20,82,73,523
Eddie Griffin,2000-01,Seton Hall,Big East,30,979,206,480,0.429,165,352,0.469,41,128,0.32,80,109,0.734,,,323,49,26,133,67,71,533
Shane Battier,2000-01,Duke,ACC,39,1363,251,533,0.471,127,237,0.536,124,296,0.419,152,191,0.796,,,285,72,82,88,60,80,778
Jason Richardson,2000-01,Michigan State,Big Ten,33,940,182,362,0.503,133,240,0.554,49,122,0.402,73,106,0.689,,,195,73,38,28,42,74,486
Corsley Edwards,2001-02,Central Connecticut State,NEC,32,992,178,353,0.504,178,353,0.504,0,0,,137,180,0.761,,,278,33,44,48,,,493
Randy Holcomb,,Fresno State,,32,419,63,128,0.492,55,109,0.505,8,19,0.421,30,53,0.566,,,93,18,15,15,,,164
Tamar Slay,2001-02,Marshall,MAC,30,1031,196,439,0.446,116,248,0.468,80,191,0.419,95,130,0.731,,,161,72,49,16,89,81,567
