name,trueheight,shoeheight,weight,wingspan,reach,standvert,agility,sprint,draft,class
Pete Mickeal,"6' 5""","6' 5.5""",222,"6' 9.5""","8' 7.5""",28,10.83,3.06,58,2000
Jaquay Walls,"6' 1.25""","6' 2""",166,"6' 2.5""","8' 0.5""",28.5,10.75,3.23,56,2000
Chris Porter,"6' 5.5""","6' 6.5""",214,"6' 9.5""","8' 7.5""",28.5,10.93,3.2,55,2000
Cory Hightower,"6' 5.5""","6' 6.5""",183,"6' 11""","8' 5.5""",29.5,11.92,3.37,54,2000
Dan McClintock,"6' 11""","7' 0.5""",250,"7' 1.5""","8' 11""",33,11.52,3.33,53,2000
Ernest Brown,"6' 10""","6' 11.25""",223,"7' 1.25""","9' 1.5""",,,,52,2000
Igor Rakocevic,"6' 2.5""","6' 3.25""",184,"6' 5.25""","8' 4""",27.5,10.4,3.1,51,2000
Jason Hart,"6' 1.75""","6' 2.5""",181,"6' 6""","8' 1.5""",29.5,11.7,3.34,49,2000
Mark Karcher,"6' 4""","6' 5""",218,"6' 8""","8' 6.5""",27.5,11.51,3.4,48,2000
Antonis Fotsis,"6' 9.25""","6' 10.25""",219,"6' 8.5""","8' 10""",27,11.6,3.44,47,2000
Jabari Smith,"6' 9.75""","6' 11""",241,"7' 2.5""","9' 1.5""",24.5,12.45,3.43,45,2000
Michael Redd,"6' 4.75""","6' 5.75""",214,"6' 9""","8' 6""",27,12.06,3.34,43,2000
Lavor Postell,"6' 4.5""","6' 5""",205,"6' 8.5""","8' 5.5""",33.5,11.79,3.3,39,2000
Eduardo Najera,"6' 6.5""","6' 7.5""",235,"6' 11.5""","8' 8.5""",28,11.38,3.45,38,2000
Eddie House,"5' 11.75""","6' 0.5""",177,"6' 3.5""","7' 11""",29.5,11.12,3.27,37,2000
Mike Smith,"6' 6.5""",,198,"6' 8.5""","8' 7""",33,11.32,3.22,35,2000
Khalid El-Amin,"5' 9""","5' 9.75""",200,"6' 1.5""","7' 9""",27.5,10.59,3.32,34,2000
A.J. Guyton,"6' 0.75""","6' 1.5""",175,"6' 3.75""","8' 1.5""",33,10.55,3.22,32,2000
Dan Langhi,"6' 9""","6' 10""",198,"6' 8""","8' 8""",31,10.85,3.24,31,2000
Marko Jaric,"6' 6.5""","6' 8""",210,"6' 9""","8' 8""",27.5,11.32,3.28,30,2000
Mark Madsen,"6' 8""","6' 9""",237,"7' 0.5""","8' 8.5""",30.5,12.12,3.46,29,2000
Primoz Brezec,"7' 0.75""","7' 1.5""",243,"7' 2""","9' 2""",26,11.53,3.55,27,2000
Ndongo N'diaye,"6' 11.5""","7' 0.25""",208,"7' 3.5""","9' 4.5""",24.5,13.16,3.69,26,2000
Donnell Harvey,"6' 7.25""",,220,"7' 0.5""","8' 9.5""",33,11.23,,22,2000
Speedy Claxton,"5' 10.5""",,166,"6' 0""","7' 10.5""",36,10.48,3.06,20,2000
Jamal Crawford,"6' 4.5""","6' 5.5""",175,"6' 10""","8' 6.5""",,,,8,2000
Kenny Satterfield,"6' 1""","6' 2.25""",176,"6' 4.5""","8' 2""",28.5,12.05,3.2,53,2001
Jarron Collins,"6' 9.25""","6' 10.5""",252,"7' 3""","8' 8""",23,11.65,3.6,52,2001
Andre Hutson,"6' 8.25""","6' 8.25""",244,"6' 11.75""","8' 9.5""",29,11.25,3.3,51,2001
Alton Ford,"6' 8.25""","6' 9""",271,"6' 10.5""","8' 6.5""",34.5,11.7,3.16,50,2001
Ruben Boumtje-Boumtje,"6' 11.5""",,245,"7' 4""","9' 3""",26.5,11.84,3.33,49,2001
Ken Johnson,"6' 10.75""","6' 11""",227,"7' 4""","9' 1.5""",32.5,11.27,3.12,48,2001
Loren Woods,"7' 0.75""","7' 1.75""",246,"7' 5.5""","9' 5""",24.5,11.83,3.48,45,2001
Sean Lampley,"6' 5.5""","6' 6.5""",213,"6' 9.25""","8' 5""",36,11.06,3.12,44,2001
Sam Clancy,"6' 6.25""","6' 7.5""",242,"7' 2.75""","8' 11""",31,11.47,3.13,44,2001
Keith Bogans,"6' 4.5""","6' 5.5""",210,"6' 9""","8' 4.5""",31.5,11.31,3.22,43,2001
Eric Chenowith,"7' 1""","7' 2""",264,"7' 4""","9' 3""",23.5,12.5,3.59,42,2001
Bobby Simmons,"6' 6.25""","6' 7.5""",235,"7' 0.25""","8' 9""",27.5,11.69,3.41,41,2001
Jamison Brewer,"6' 2.5""","6' 4""",178,"6' 8.75""","8' 6.5""",26,9.65,3.15,40,2001
Earl Watson,"6' 0""","6' 1.25""",184,"6' 6.75""","8' 1""",32.5,10.97,3.19,39,2001
Michael Wright,"6' 7""",,247,"6' 11.5""","8' 10.5""",27.5,11.37,3.21,38,2001
Damone Brown,"6' 8.25""","6' 9.5""",202,"6' 11.75""","8' 8.5""",32,11.81,3.27,36,2001
Brian Scalabrine,"6' 8.75""","6' 10.25""",241,"6' 9.75""","8' 9.5""",27,11.75,3.47,34,2001
Will Solomon,"5' 11.75""","6' 1.25""",172,"6' 9.5""","8' 3.5""",28.5,11.3,3.22,32,2001
Omar Cook,"5' 11.5""","6' 0.75""",189,"6' 5.5""","7' 8""",31,10.77,3.2,31,2001
Gilbert Arenas,"6' 2.25""",,199,"6' 9.5""","8' 3.5""",31.5,,3.25,30,2001
Trenton Hassell,"6' 4.25""","6' 5.25""",205,"6' 8""","8' 3.5""",35.5,11.57,3.29,29,2001
Jamaal Tinsley,"6' 0.75""","6' 2""",199,"6' 7.5""","8' 1.5""",28,11.96,3.2,27,2001
Brandon Armstrong,"6' 3.5""","6' 4.5""",188,"6' 9.5""","8' 3.5""",30,10.91,3.2,23,2001
